2016.12.04	울산모비스	L82-77	16'17"	2	0	0	2	1	3	2	1	0	1	2
2016.12.03	서울SK	W89-85	21'40"	13	1	4	1	0	1	0	0	0	0	2
2016.11.30	안양KGC	L80-75	3'49"	3	1	0	0	0	0	0	0	0	1	0
2016.11.26	고양오리온	L89-91	16'29"	9	1	0	1	2	3	2	1	0	3	0
2016.11.24	전주KCC	W85-74	27'22"	16	2	2	1	1	2	1	1	0	0	2
2016.11.20	서울삼성	L103-93	21'6"	24	4	4	3	0	3	1	1	0	1	0
2016.11.18	원주동부	L60-71	3'4"	0	0	0	0	1	1	0	0	0	1	1
2016.11.16	안양KGC	L76-84	13'37"	6	0	0	0	1	1	0	2	0	1	1
2016.11.13	인천전자랜드	W75-72	29'9"	14	2	0	1	2	3	2	1	0	0	2
2016.11.11	서울삼성	L88-84	15'8"	19	2	3	2	3	5	3	0	0	0	3
2016.11.09	고양오리온	L84-83	14'6"	6	0	2	2	1	3	0	0	0	0	2
2016.11.05	부산KT	W71-67	14'14"	4	0	0	0	1	1	1	0	0	2	2
2016.10.30	서울SK	L100-82	17'35"	2	0	0	2	0	2	0	0	0	0	2
2016.10.29	울산모비스	W85-74	34'25"	20	2	0	1	4	5	1	0	0	0	1
2016.10.26	원주동부	L98-71	14'10"	2	0	0	0	1	1	1	0	0	2	3
2016.10.23	전주KCC	W67-79	25'39"	12	0	2	1	3	4	1	0	0	1	1

평균	79.6 - 82.5	17'59"	9.5	0.9	1.1	1.1	1.3	2.4	0.9	0.4	0.0	0.8	1.5
