날짜 대진팀 경기결과 Min. PTS 3P FT OFF DEF REB AST STL BLK TO PF
2016.12.03 서울삼성 L88-98 35'39" 12 1 3 0 0 0 6 2 0 5 3 
2016.11.30 창원LG W80-75 32'13" 22 2 4 0 1 1 3 4 0 5 4 
2016.11.27 부산KT W96-71 24'20" 14 4 2 0 5 5 3 0 0 4 2 
2016.11.25 울산모비스 W70-83 31'9" 19 2 3 1 1 2 8 1 0 2 4 
2016.11.23 인천전자랜드 W70-91 33'39" 18 3 1 2 1 3 7 1 1 2 4 
2016.11.19 전주KCC W78-81 30'0" 17 1 6 0 2 2 2 2 0 2 4 
2016.11.16 창원LG W76-84 32'37" 14 2 2 0 0 0 10 4 0 2 3 
2016.11.12 고양오리온 L81-91 30'7" 6 2 0 0 3 3 5 0 0 7 2 
2016.11.06 울산모비스 L86-75 35'16" 16 3 3 0 4 4 5 3 1 0 4 
2016.11.05 원주동부 L88-73 32'52" 26 6 0 0 1 1 3 2 0 0 3 
2016.11.03 부산KT W70-94 21'57" 8 2 0 2 2 4 5 2 0 1 1 
2016.10.30 전주KCC W78-76 34'25" 17 3 2 0 2 2 5 0 0 1 2 
2016.10.28 인천전자랜드 W87-86 38'54" 24 4 2 0 2 2 6 1 0 4 3 
2016.10.25 서울삼성 L114-91 34'13" 22 5 3 0 1 1 3 2 0 5 2 
2016.10.22 서울SK W100-95 35'22" 22 4 4 1 1 2 5 5 0 3 1 

평균 85.5 - 82.9 32'11" 17.1 2.9 2.3 0.4 1.7 2.1 5.1 1.9 0.1 2.9 2.8 
