성명	생년월일	신장	소속		포지션	배번
김기윤  1992.03.12	180	안양KGC인삼공사	GD	2
김민욱	1990.01.10	205	안양KGC인삼공사	C	9
김종근	1986.05.11	181	안양KGC인삼공사	GD	7
김철욱	1992.06.25	202.3	안양KGC인삼공사	C	32
데이비드사이먼	1982.08.09	203	안양KGC인삼공사	C	55
문성곤	1993.05.09	196	안양KGC인삼공사	FD	10
박재한	1994.05.29	173.4	안양KGC인삼공사	GD	0
양희종	1984.05.11	194	안양KGC인삼공사	FD	11
오세근	1987.05.20	200	안양KGC인삼공사	C	41
이정현	1987.03.03	191	안양KGC인삼공사	FD	3
전성현	1991.11.05	189	안양KGC인삼공사	FD	23
키퍼사익스		177.9	안양KGC인삼공사	GD	28
한희원	1993.05.01	195	안양KGC인삼공사	FD	4
