날짜 대진팀 경기결과 Min. PTS 3P FT OFF DEF REB AST STL BLK TO PF
2016.12.03 서울삼성 L88-98 8'48" 0 0 0 1 0 1 1 0 0 0 2 
2016.11.30 창원LG W80-75 7'32" 0 0 0 0 0 0 0 1 0 2 0 
2016.11.27 부산KT W96-71 25'3" 15 1 2 5 1 6 1 3 0 0 3 
2016.11.25 울산모비스 W70-83 8'13" 2 0 0 0 0 0 0 2 0 0 1 
2016.11.23 인천전자랜드 W70-91 0'37" 0 0 0 0 0 0 0 0 0 0 0 
2016.11.19 전주KCC W78-81 2'6" 0 0 0 0 0 0 0 0 0 0 0 
2016.11.16 창원LG W76-84 16'46" 2 0 0 1 0 1 0 0 0 1 3 
2016.11.12 고양오리온 L81-91 27'28" 6 0 2 3 1 4 2 1 0 0 4 
2016.11.06 울산모비스 L86-75 11'34" 4 0 0 2 0 2 1 1 1 0 5 
2016.11.05 원주동부 L88-73 10'32" 3 1 0 1 2 3 0 1 0 1 1 
2016.11.03 부산KT W70-94 23'39" 10 0 2 2 3 5 2 0 0 3 3 
2016.10.30 전주KCC W78-76 19'42" 4 0 0 2 4 6 1 0 0 1 1 
2016.10.28 인천전자랜드 W87-86 20'58" 3 1 0 1 3 4 1 2 0 1 4 
2016.10.25 서울삼성 L114-91 18'27" 2 0 0 1 0 1 0 1 0 2 3 
2016.10.22 서울SK W100-95 24'4" 6 1 1 3 1 4 1 0 0 0 5 

평균 85.5 - 82.9 15'2" 3.8 0.3 0.5 1.5 1.0 2.5 0.7 0.8 0.1 0.7 2.3 
