날짜 대진팀 경기결과 Min. PTS 3P FT OFF DEF REB AST STL BLK TO PF
2016.12.03 서울삼성 L88-98 36'54" 23 0 1 2 7 9 1 1 1 0 1 
2016.11.30 창원LG W80-75 32'54" 16 0 0 1 7 8 2 4 1 2 4 
2016.11.27 부산KT W96-71 24'8" 21 0 1 4 8 12 0 2 3 1 0 
2016.11.25 울산모비스 W70-83 36'28" 24 1 1 2 7 9 4 0 3 0 2 
2016.11.23 인천전자랜드 W70-91 35'34" 35 0 1 5 6 11 2 1 2 0 3 
2016.11.19 전주KCC W78-81 35'29" 26 0 4 3 6 9 2 1 2 1 2 
2016.11.16 창원LG W76-84 37'18" 31 0 1 5 9 14 0 1 4 3 2 
2016.11.12 고양오리온 L81-91 34'21" 26 0 2 7 14 21 1 2 3 1 3 
2016.11.06 울산모비스 L86-75 28'4" 20 0 6 4 3 7 0 0 0 1 1 
2016.11.05 원주동부 L88-73 25'25" 20 0 4 2 2 4 0 0 2 3 4 
2016.11.03 부산KT W70-94 26'21" 22 0 2 2 6 8 4 0 0 0 0 
2016.10.30 전주KCC W78-76 36'54" 16 0 0 2 4 6 2 0 3 3 3 
2016.10.28 인천전자랜드 W87-86 36'19" 29 0 3 1 6 7 0 0 1 2 2 
2016.10.25 서울삼성 L114-91 35'38" 10 0 2 1 4 5 1 1 0 1 3 
2016.10.22 서울SK W100-95 39'52" 26 0 2 2 7 9 2 3 1 1 2 

평균 85.5 - 82.9 33'27" 23.0 0.1 2.0 2.9 6.4 9.3 1.4 1.1 1.7 1.3 2.1 
