2016.12.07	안양KGC	L99-101	13'54"	6	0	0	2	0	2	0	1	0	2	3
2016.12.02	부산KT	W79-84	11'32"	4	0	0	0	1	1	0	0	0	0	0
2016.11.30	인천전자랜드	L88-81	17'18"	0	0	0	3	1	4	0	0	0	1	2
2016.11.26	창원LG	W89-91	17'48"	0	0	0	2	0	2	0	0	0	0	1
2016.11.19	서울SK	W95-86	16'27"	2	0	0	0	1	1	0	0	0	0	1
2016.11.15	원주동부	L96-95	26'7"	3	1	0	1	1	2	1	0	0	0	3
2016.11.12	안양KGC	W81-91	38'11"	23	5	0	3	7	10	2	2	0	3	1
2016.11.09	창원LG	W84-83	15'14"	0	0	0	0	0	0	1	0	0	1	1
2016.11.06	인천전자랜드	W82-80	19'33"	2	0	0	1	2	3	0	0	0	1	1
2016.11.04	울산모비스	W83-71	37'2"	11	1	0	2	3	5	0	1	0	1	1
2016.11.02	서울삼성	L107-104	37'38"	7	1	0	2	4	6	3	1	0	0	4
2016.10.29	서울SK	W83-88	28'6"	8	2	0	4	1	5	0	1	0	0	1
2016.10.27	부산KT	W99-67	26'19"	7	0	1	1	2	3	1	0	0	0	3
2016.10.22	전주KCC	W81-69	24'33"	6	2	0	1	6	7	1	1	0	0	1

평균	89.8 - 84.3	23'33"	5.6	0.9	0.1	1.6	2.1	3.6	0.6	0.5	0.0	0.6	1.6
