2016.12.07	안양KGC	L99-101	20'12"	12	2	2	1	2	3	5	0	0	1	1
2016.12.04	서울삼성	W100-85	23'54"	20	2	2	0	1	1	1	0	0	4	2
2016.12.02	부산KT	W79-84	1'50"	0	0	0	0	0	0	0	0	0	2	0
2016.11.30	인천전자랜드	L88-81	21'19"	5	0	1	0	2	2	3	0	0	5	1
2016.11.26	창원LG	W89-91	15'47"	4	0	0	1	4	5	3	1	0	3	1
2016.11.20	전주KCC	W72-83	20'36"	8	0	0	0	1	1	2	0	1	2	3
2016.11.19	서울SK	W95-86	21'5"	14	1	1	0	2	2	1	0	0	3	2
2016.11.15	원주동부	L96-95	36'5"	33	2	1	0	1	1	4	1	0	2	2
2016.11.12	안양KGC	W81-91	37'16"	25	2	1	1	4	5	7	0	0	4	4
2016.11.09	창원LG	W84-83	23'50"	8	1	1	0	2	2	0	1	0	4	4
2016.11.06	인천전자랜드	W82-80	30'6"	21	2	1	0	4	4	3	1	0	3	1
2016.11.04	울산모비스	W83-71	23'36"	11	0	3	0	6	6	2	0	0	1	0
2016.11.02	서울삼성	L107-104	22'25"	17	0	3	0	3	3	2	0	0	4	1
2016.10.29	서울SK	W83-88	21'28"	12	0	0	0	4	4	5	2	0	0	0
2016.10.27	부산KT	W99-67	26'29"	23	0	3	1	6	7	7	0	0	3	0
2016.10.22	전주KCC	W81-69	26'20"	18	2	0	0	4	4	7	2	0	2	2

평균	90.0 - 83.6	23'16"	14.4	0.9	1.2	0.3	2.9	3.1	3.3	0.5	0.1	2.7	1.5
